dataset,n_qubits,n_seeds,zero_qnn_mean,best_mrbi_qnn_mean,pca_qnn_mean,delta_zero_mean,delta_zero_std
wine_binary,4,2,0.9305555555555556,0.9206349206349206,0.9603174603174602,-0.009920634920635052,0.01964185503295982
wine_binary,6,2,0.8571428571428572,0.9246031746031746,0.9206349206349206,0.06746031746031744,0.05611958580845611
wine_binary,8,2,0.6865079365079365,0.8690476190476191,0.9761904761904762,0.1825396825396826,0.03928371006591924
wine_0_vs_2,4,2,0.9555555555555556,0.9861111111111112,1.0,0.030555555555555503,0.04321208107251116
wine_0_vs_2,6,2,0.8916666666666666,0.9555555555555555,1.0,0.06388888888888883,0.08249579113843049
wine_0_vs_2,8,2,0.675,0.7277777777777779,1.0,0.05277777777777781,0.019641855032959583
digits_4_vs_9,4,2,0.9895833333333335,1.0,1.0,0.010416666666666574,0.01473139127471961
digits_4_vs_9,6,2,0.9166666666666667,1.0,1.0,0.08333333333333331,0.11785113019775789
digits_4_vs_9,8,2,0.7708333333333334,0.8958333333333333,0.9895833333333335,0.12499999999999994,0.02946278254943961
